541 21305
67 105 25
352 509 80
369 489 79
122 374 89
53 318 98
507 524 83
275 486 60
162 511 5
104 290 49
508 529 90
378 479 89
167 363 71
19 536 46
91 466 14
107 492 28
507 532 58
339 448 11
291 522 20
49 179 68
196 396 34
286 475 61
308 345 98
150 519 88
303 329 89
310 535 47
216 346 18
77 132 94
136 224 28
66 491 51
34 366 98
95 204 34
132 250 16
44 234 67
455 539 67
42 350 68
100 246 84
188 495 44
25 147 85
85 515 3
236 289 18
348 371 42
210 295 11
380 413 49
21 203 23
149 397 36
39 365 43
13 440 18
3 302 11
233 397 94
24 524 98
469 512 97
38 113 10
71 367 26
376 444 96
105 476 3
161 468 24
288 316 86
34 470 91
521 522 83
148 351 16
165 310 9
6 29 37
124 354 44
120 259 10
43 236 8
80 128 23
207 495 88
112 266 21
10 136 80
129 423 21
433 532 24
148 296 61
316 345 93
50 241 18
25 509 60
16 28 91
163 372 22
290 349 35
277 462 74
170 223 90
306 541 98
43 344 70
98 348 74
210 401 67
153 206 47
166 362 89
349 365 37
111 194 31
96 459 52
413 462 16
184 364 100
229 291 37
102 430 58
92 291 61
196 534 41
381 484 43
208 316 28
464 532 16
351 358 5
16 412 87
13 497 69
244 483 87
28 202 89
26 484 20
73 452 17
60 486 53
71 538 59
52 155 93
102 442 66
134 264 92
172 279 20
194 352 95
88 446 81
347 412 30
214 220 33
34 404 97
131 283 53
328 374 29
13 406 29
186 347 100
70 169 21
229 368 95
110 270 82
110 358 83
114 128 79
361 480 58
445 490 66
177 192 17
321 473 66
5 454 72
199 411 8
326 461 93
364 408 84
83 184 76
143 242 33
96 292 59
156 214 92
112 225 10
4 115 85
179 391 81
150 523 46
444 500 53
442 489 13
159 518 96
415 464 57
355 448 32
258 476 76
449 505 26
145 165 66
66 95 80
123 467 33
351 479 20
417 467 16
3 280 98
308 529 1
63 285 60
102 517 70
241 534 71
72 82 79
107 485 13
411 458 85
405 420 94
172 268 10
9 266 24
4 382 13
233 284 27
84 139 84
122 234 8
52 264 63
132 212 92
2 528 18
482 506 31
10 55 75
274 475 69
38 127 37
142 328 98
323 334 12
61 400 10
438 502 1
220 309 23
178 382 69
347 538 74
193 297 26
48 522 42
200 211 63
9 53 13
93 120 3
141 239 7
15 196 87
44 185 2
12 401 69
46 94 30
232 486 67
25 414 5
3 63 55
202 256 40
487 508 69
316 494 23
89 97 24
214 385 36
246 286 17
393 486 73
400 412 36
294 445 5
92 313 10
106 208 19
120 158 77
81 318 27
122 282 55
261 371 63
163 365 63
204 269 56
313 439 84
356 496 74
49 96 60
104 287 34
182 363 90
280 330 49
212 429 75
455 530 9
44 404 23
346 477 52
42 345 21
113 209 82
77 410 64
19 421 63
178 310 65
24 438 93
154 360 49
212 273 22
392 453 32
442 520 8
151 528 63
386 488 52
150 406 3
360 507 78
206 495 58
294 360 41
292 483 84
47 206 27
142 201 89
173 306 16
352 438 52
376 439 65
172 412 44
141 331 80
10 36 61
171 357 98
39 153 85
279 329 78
109 466 36
222 330 37
93 500 42
355 541 2
9 270 46
67 150 10
186 373 81
291 320 5
85 459 46
206 307 92
123 226 22
80 139 2
358 423 27
96 319 91
260 359 95
233 430 11
319 478 95
146 271 77
120 538 15
252 420 40
14 415 40
162 513 66
446 524 12
259 413 68
150 313 89
149 185 49
366 420 37
362 511 95
183 324 32
202 389 79
204 508 94
176 392 91
213 337 11
14 158 89
254 280 37
19 404 94
128 492 89
113 340 1
120 250 56
90 486 25
223 419 3
358 469 99
14 458 56
395 398 24
243 395 89
314 324 60
218 392 46
79 232 60
296 332 34
7 33 79
92 219 60
241 504 22
54 65 17
4 57 17
124 287 95
32 499 2
6 367 78
13 483 10
107 256 4
259 287 47
61 181 76
289 498 46
367 410 3
276 517 4
36 224 37
129 388 9
184 466 14
424 510 17
476 513 87
95 346 3
382 409 32
58 132 89
96 118 54
41 341 61
190 445 81
36 273 31
323 498 98
471 528 55
6 135 83
305 339 24
177 313 22
73 477 48
295 323 77
28 117 12
103 224 66
60 457 97
206 436 53
159 444 51
22 324 62
201 373 28
527 535 53
236 454 98
38 202 3
178 190 87
64 127 26
37 225 82
11 249 8
80 226 45
140 154 7
88 178 97
1 7 13
354 441 8
267 498 53
24 323 1
403 409 20
31 487 28
137 342 37
58 391 64
13 382 73
235 430 6
97 120 55
73 292 54
274 353 64
336 502 13
375 508 82
127 220 32
250 321 57
52 468 94
23 382 18
160 461 93
17 89 24
15 289 21
234 411 73
493 531 42
149 234 42
489 493 14
376 532 41
386 397 23
201 328 43
106 404 34
171 368 36
223 296 85
416 453 41
254 271 86
76 188 22
442 465 49
105 294 39
22 220 93
59 337 57
256 337 71
199 299 84
212 418 42
94 201 16
407 426 99
214 453 63
112 436 59
392 533 8
35 96 64
312 362 59
274 421 77
65 422 8
367 493 22
35 283 97
261 285 89
200 305 11
153 199 41
395 458 36
215 333 93
197 305 59
65 437 11
387 494 36
120 161 70
465 532 26
422 436 57
522 531 3
62 146 10
101 428 4
62 537 46
163 328 29
30 191 29
271 299 38
199 209 92
131 438 94
98 440 26
174 510 22
12 427 92
510 523 6
297 492 33
5 243 16
50 112 89
79 193 74
224 307 8
362 488 57
30 319 26
351 518 66
69 537 33
12 500 48
22 327 51
208 232 22
50 125 45
45 131 7
269 415 18
478 520 100
33 49 56
207 252 9
111 394 84
350 491 10
16 255 25
381 431 36
54 425 8
19 514 31
18 533 69
167 175 22
251 511 48
473 478 53
28 428 81
345 501 94
26 272 61
265 365 34
354 508 95
240 460 33
326 476 70
452 531 33
132 294 51
169 304 24
134 499 30
153 480 68
238 470 36
154 237 59
364 380 92
44 280 10
384 443 23
358 458 81
374 402 93
313 426 48
223 466 65
359 534 65
448 512 18
117 360 75
170 253 51
62 529 85
21 153 33
370 440 6
120 126 64
100 340 31
192 237 19
146 249 66
450 476 78
370 453 93
225 338 31
167 271 71
164 511 60
191 415 66
244 426 2
201 346 57
280 538 100
253 256 37
380 414 28
118 398 71
158 524 67
240 392 5
86 427 67
166 292 25
372 456 80
81 283 82
157 393 54
183 345 81
197 512 58
64 405 56
174 427 100
45 243 75
5 147 89
29 123 34
294 357 14
298 444 18
245 374 94
290 502 87
254 469 41
354 520 40
268 525 76
74 177 69
475 505 75
90 338 24
138 292 33
52 342 64
209 510 67
34 168 81
75 209 76
461 475 24
95 309 96
368 501 65
155 288 86
27 214 6
42 338 61
510 521 35
79 360 89
98 241 13
188 486 17
56 305 17
117 474 43
316 323 34
444 469 63
231 251 41
186 454 91
502 527 11
37 275 66
249 339 35
486 538 6
322 484 77
216 317 59
159 263 47
15 140 41
290 295 78
108 204 13
134 406 63
297 405 8
253 421 71
500 510 19
301 457 88
520 530 66
30 65 81
299 396 67
338 517 72
382 466 9
151 484 42
120 355 34
84 462 95
204 436 78
86 297 91
89 111 33
9 419 89
250 391 83
32 402 90
231 235 28
33 63 12
412 496 39
51 114 23
120 402 24
125 534 35
191 491 33
257 468 11
73 349 77
11 231 6
214 250 16
263 538 80
172 421 73
55 184 36
17 37 27
33 487 63
170 304 1
159 337 18
280 340 57
208 466 86
271 536 75
184 201 78
195 355 6
130 504 77
273 435 87
107 286 7
76 110 85
176 509 78
403 406 68
264 448 88
82 266 85
279 482 10
190 344 10
1 360 79
47 159 25
54 394 8
8 409 60
84 172 48
42 353 33
28 259 26
181 274 80
201 466 18
214 269 67
279 536 62
275 337 82
28 281 14
201 242 43
147 200 17
6 186 46
280 488 21
35 416 19
299 306 17
8 465 21
16 484 93
30 415 93
238 340 26
196 485 11
7 339 16
422 465 15
105 150 83
125 408 28
79 469 63
88 106 26
45 212 9
26 320 92
309 406 7
287 515 75
249 479 23
263 514 14
12 508 80
104 346 31
112 312 64
162 420 76
183 194 49
218 453 36
41 318 24
351 541 12
106 519 70
418 518 24
200 311 39
389 424 27
115 419 26
304 493 47
114 464 4
14 35 53
40 444 46
439 517 42
249 335 98
152 196 92
218 338 57
210 445 69
144 208 66
341 457 82
131 218 91
230 437 61
57 145 71
179 359 10
92 440 23
466 508 18
30 272 2
82 309 94
104 138 18
27 288 5
219 485 14
387 505 7
436 513 53
300 437 5
33 403 66
75 352 93
256 506 8
272 359 85
54 451 69
164 412 95
215 298 3
60 435 80
132 331 98
99 244 47
57 78 59
181 449 92
376 473 12
129 139 25
228 233 90
342 502 80
150 531 16
221 459 57
78 375 81
94 99 57
122 369 76
16 481 31
34 186 2
93 432 10
103 254 4
82 256 55
33 508 58
217 352 89
167 428 32
184 326 83
194 486 99
76 272 22
88 160 69
118 262 59
139 207 93
9 120 41
57 470 41
220 232 78
190 353 66
213 238 10
320 489 18
429 443 86
73 281 99
253 286 28
112 520 52
163 217 14
164 226 39
337 444 51
84 190 37
37 496 71
378 504 78
69 118 47
55 222 6
57 494 90
251 445 25
107 250 78
100 148 82
86 304 6
78 170 78
252 436 99
243 407 84
29 111 47
114 521 40
113 147 32
465 497 18
15 266 8
275 505 2
40 159 25
48 269 42
259 478 88
225 301 26
179 207 38
29 353 33
381 430 7
16 35 44
61 225 18
6 179 36
27 470 87
433 539 40
73 259 94
391 507 3
213 512 33
75 285 95
124 255 16
108 118 26
231 237 75
130 427 12
277 350 32
90 519 98
267 511 90
395 406 94
169 486 41
247 364 24
393 512 27
162 265 51
206 350 98
150 521 86
225 360 100
177 494 40
329 344 15
86 485 46
496 537 22
521 533 80
370 490 46
113 184 62
205 282 70
135 418 4
169 414 59
192 261 26
217 235 2
139 457 81
55 197 72
63 139 96
314 424 24
351 401 12
228 407 44
269 456 20
243 392 96
243 279 32
141 405 84
168 338 88
210 400 63
117 358 88
253 367 64
22 373 94
342 390 71
193 379 59
321 521 52
86 463 78
36 47 69
82 364 90
49 527 50
270 355 56
382 516 62
183 486 4
12 303 60
103 428 21
105 456 25
127 169 12
297 513 5
52 148 92
122 281 46
88 307 78
96 451 82
222 394 64
292 377 27
117 164 32
223 461 72
294 425 96
8 314 38
386 470 18
35 450 16
85 114 82
325 452 37
89 250 68
67 402 45
45 288 72
500 525 55
380 491 91
93 537 73
149 239 3
254 303 33
57 380 34
158 372 67
129 419 52
93 138 75
247 296 81
129 456 5
195 231 97
400 434 86
52 353 27
7 417 37
116 311 18
272 344 26
172 287 15
204 385 34
408 474 3
8 257 55
18 520 40
409 507 18
63 181 59
110 418 58
33 526 59
413 463 55
64 96 68
324 529 55
111 241 29
314 517 80
189 266 20
150 359 59
115 193 40
183 508 44
132 523 96
454 499 81
282 523 19
204 341 72
218 225 84
244 334 34
83 183 89
288 382 60
14 132 3
455 524 8
450 456 7
190 497 95
237 453 3
344 469 77
78 173 69
192 238 23
302 488 85
19 185 17
348 380 91
142 425 83
108 537 35
237 384 13
380 537 59
140 531 38
193 481 64
469 494 71
109 444 45
119 202 48
34 416 67
107 325 16
167 444 24
476 477 4
197 337 69
303 443 84
73 230 9
34 386 26
174 509 73
155 469 47
322 380 22
108 462 4
449 511 1
462 531 97
47 146 99
150 463 77
313 489 23
200 398 35
39 435 85
318 390 25
101 312 42
170 408 51
404 538 44
8 445 70
334 374 52
470 519 74
305 404 14
170 389 81
53 276 27
8 490 60
220 491 56
117 315 7
196 210 3
60 298 66
220 425 32
308 368 99
287 370 20
54 112 85
298 416 45
88 442 57
290 387 3
166 538 67
111 182 14
210 454 96
43 283 100
63 298 38
137 183 36
260 396 72
331 479 43
31 89 18
489 513 50
397 488 79
467 486 5
365 435 25
145 427 55
476 498 17
17 515 19
100 211 41
260 395 33
233 390 42
185 447 7
21 486 17
19 393 25
54 245 80
224 398 87
259 329 20
323 536 85
21 380 17
54 71 64
55 364 6
147 221 58
62 80 90
51 453 90
357 387 11
17 149 87
109 197 85
27 299 12
168 310 56
123 309 80
215 512 69
286 394 83
37 474 33
33 433 59
96 535 54
65 271 91
90 506 59
102 511 100
46 278 2
504 507 43
134 432 21
383 494 39
176 249 84
20 465 64
349 426 57
200 374 87
410 456 94
240 412 87
324 447 97
75 256 39
127 488 2
177 395 1
387 503 29
308 321 87
152 383 90
91 143 8
127 185 94
62 129 42
389 431 42
90 211 58
251 425 98
461 468 67
97 264 87
16 321 27
190 444 97
59 163 6
392 420 92
73 245 57
97 238 76
109 508 82
159 270 47
345 370 53
254 435 42
383 484 11
313 498 19
365 512 49
69 231 41
29 421 12
468 491 57
125 350 90
26 58 48
125 420 12
46 201 58
72 90 44
8 355 74
53 299 8
33 292 89
146 473 67
156 383 54
52 173 45
488 526 49
427 533 35
273 334 66
428 516 58
422 524 68
59 356 40
291 497 13
69 529 66
330 424 56
34 240 21
196 440 30
204 393 16
189 195 58
56 68 23
315 484 45
197 374 15
423 433 4
217 422 29
193 229 37
84 189 84
192 503 56
11 410 61
108 517 66
255 473 65
71 448 77
17 310 90
163 271 70
23 540 15
104 502 64
321 539 14
156 429 78
64 252 77
98 118 31
19 255 72
188 239 60
71 106 92
65 275 50
56 232 68
295 483 93
69 473 38
298 427 76
414 421 18
83 331 52
231 463 65
159 313 31
240 333 81
367 476 78
342 381 55
92 442 87
256 366 27
112 181 3
235 506 14
56 89 74
21 80 68
160 367 72
241 428 22
167 309 65
50 198 48
12 108 63
57 245 30
21 231 43
268 351 40
39 224 82
18 210 66
302 320 44
406 430 7
487 505 78
166 307 16
95 158 95
213 262 36
473 484 57
279 433 26
126 510 81
233 415 39
106 166 46
386 427 52
61 368 18
261 485 18
238 323 74
25 491 12
92 411 27
78 132 50
123 359 21
35 441 100
49 251 11
347 401 57
353 477 3
342 531 9
46 181 9
24 257 96
229 378 62
33 411 48
229 481 6
109 506 60
184 504 69
53 284 35
159 262 1
215 536 95
215 243 49
179 437 82
237 529 89
4 27 43
246 490 70
290 477 88
149 378 99
229 512 87
252 533 49
242 458 46
58 424 91
346 376 8
23 420 58
120 410 37
178 439 22
104 483 40
239 442 24
211 262 18
23 410 48
264 363 2
150 194 55
330 431 97
369 402 70
52 201 94
61 287 86
290 318 46
161 414 64
469 501 58
211 314 47
30 38 11
251 480 11
90 328 70
117 148 60
3 202 12
525 533 5
308 322 22
328 510 34
115 336 87
177 266 8
202 328 46
58 195 7
354 406 22
256 346 97
316 435 35
153 534 32
87 438 11
321 484 17
106 361 29
347 500 27
295 328 82
471 485 94
18 471 34
155 345 77
298 309 48
1 469 68
128 261 68
59 261 15
152 405 71
232 465 11
247 531 44
31 322 30
205 237 19
125 371 65
90 342 15
302 455 9
197 354 9
51 483 35
182 353 94
195 436 75
29 49 12
256 377 55
24 517 36
397 485 40
153 173 90
474 491 30
282 532 19
63 279 73
218 280 57
71 334 100
219 352 72
98 202 53
46 206 9
214 487 66
54 433 22
239 302 31
60 316 9
147 201 22
64 372 63
304 473 54
499 526 43
40 135 41
191 356 27
238 343 46
439 481 81
276 301 46
22 516 96
83 373 99
198 229 84
21 324 34
180 518 2
450 470 83
85 229 8
292 338 27
4 262 5
191 499 25
40 428 50
70 379 41
166 515 56
84 312 75
72 307 95
169 364 57
386 444 15
112 367 53
371 410 62
96 322 71
54 529 46
191 247 90
243 478 94
315 390 98
89 278 28
167 417 99
29 117 53
119 252 56
246 377 14
86 377 48
41 504 78
94 292 56
103 498 70
501 521 19
360 511 13
19 528 88
266 463 67
423 431 71
167 481 53
2 229 88
146 223 61
119 451 35
340 402 12
127 489 87
247 388 69
249 436 88
185 340 21
220 486 49
233 479 9
352 402 55
273 440 93
375 469 38
132 431 71
162 245 22
386 494 80
87 364 32
275 466 33
328 486 72
364 482 74
209 317 54
45 220 47
16 81 38
222 364 38
326 379 61
80 243 81
1 401 45
57 133 17
66 422 61
258 540 70
423 504 97
268 325 52
305 477 15
51 156 33
30 440 90
59 240 96
327 452 30
73 459 22
347 485 29
150 240 15
148 327 80
110 439 16
402 476 57
202 408 31
332 415 45
64 518 10
53 128 53
221 348 48
266 316 77
175 290 25
107 314 94
21 39 44
121 241 79
152 162 94
376 477 23
94 513 60
129 261 27
347 380 98
115 239 24
346 437 51
405 447 30
61 262 80
68 315 12
59 462 64
53 393 42
122 289 59
255 388 41
351 467 54
13 502 90
155 409 54
238 493 31
247 335 49
135 302 69
404 465 10
128 412 93
218 348 72
283 312 40
208 378 41
418 424 60
68 178 18
6 194 55
73 485 10
439 474 62
167 436 72
219 535 50
246 288 22
160 373 50
65 404 45
14 47 64
180 508 27
231 396 24
153 414 96
162 391 25
164 298 71
75 477 6
387 453 11
444 533 62
131 173 82
50 394 60
130 516 78
50 96 34
82 182 58
339 428 46
12 404 32
92 196 26
125 331 77
87 288 81
170 363 80
325 525 50
80 271 66
60 109 21
306 500 86
474 504 35
221 531 33
154 422 62
257 479 37
106 184 50
389 506 47
153 244 50
207 356 32
75 191 86
247 444 56
261 279 99
72 433 36
159 523 7
40 431 14
64 540 72
15 304 39
198 367 95
13 466 78
208 343 13
282 295 74
158 454 39
398 428 33
105 483 64
245 371 100
211 213 23
41 249 1
16 145 45
115 216 13
148 538 74
249 469 27
77 341 26
308 381 5
384 500 64
193 409 9
280 500 51
30 51 50
85 175 80
1 180 59
169 448 96
71 470 19
278 377 4
121 207 7
142 292 87
59 369 27
258 443 95
206 443 54
20 283 74
55 139 37
330 375 38
272 432 3
1 495 72
241 248 2
13 151 5
28 156 44
83 285 11
316 444 79
105 485 46
463 501 30
112 238 49
379 426 62
239 516 51
96 500 21
30 113 68
116 409 38
520 533 37
223 254 81
91 182 82
237 526 84
316 320 100
49 98 25
82 199 70
294 454 6
371 416 75
279 476 28
378 439 83
469 484 60
31 99 3
412 519 12
110 351 36
10 155 92
136 520 3
66 363 53
57 126 35
70 415 19
200 433 100
161 507 41
127 168 83
132 488 82
194 426 50
3 370 71
133 309 82
433 516 92
13 468 50
146 471 38
56 528 26
346 491 28
119 440 57
279 430 12
31 219 98
161 469 53
53 293 97
210 384 79
328 421 61
323 371 75
268 423 13
37 77 73
186 359 64
84 516 94
334 427 84
290 424 49
53 106 14
210 267 84
130 177 43
53 224 95
477 495 93
331 453 22
187 432 62
177 491 51
151 465 56
283 476 73
63 180 49
288 384 22
42 304 98
33 530 75
472 537 32
197 248 59
78 462 23
370 414 46
241 461 13
89 173 42
270 504 20
364 443 5
8 171 16
135 447 4
425 490 37
57 182 68
225 280 4
332 503 12
337 458 95
112 311 3
51 221 75
65 219 62
23 270 34
190 211 40
132 171 36
91 378 56
8 17 37
220 368 15
345 425 77
25 334 60
14 275 23
46 219 56
248 404 40
158 393 97
347 494 87
22 479 89
150 460 84
55 287 35
153 460 46
26 449 87
192 482 3
72 442 71
186 374 90
30 512 68
377 437 32
20 431 77
144 171 55
214 500 92
140 227 77
28 131 27
171 355 50
181 255 87
60 294 87
221 237 42
134 374 79
305 401 7
334 537 19
125 130 61
108 307 38
228 230 60
153 487 16
121 522 28
129 453 2
292 329 49
19 362 56
216 255 57
402 475 75
375 386 80
62 93 87
67 387 65
82 410 56
255 462 15
173 321 18
300 510 17
139 238 100
240 298 78
142 468 40
298 496 54
215 410 13
297 450 59
373 481 88
6 462 42
81 222 57
193 428 29
251 327 75
34 380 25
268 463 97
320 328 12
64 216 87
8 15 1
78 528 71
59 209 28
440 469 57
184 391 5
270 410 64
6 164 86
293 417 18
154 399 22
170 510 55
346 487 27
183 280 26
4 523 84
182 456 67
323 427 10
38 186 26
344 394 57
75 387 90
367 440 54
41 375 49
235 490 39
52 193 32
80 193 92
147 254 71
248 491 48
63 105 88
162 201 40
106 320 56
146 175 13
240 401 29
165 284 79
112 353 82
8 304 30
390 420 84
331 445 17
138 284 36
175 442 12
106 429 14
115 427 13
300 441 85
13 185 37
245 370 17
11 340 70
14 171 89
289 414 71
225 256 68
144 538 53
404 432 70
343 504 33
480 530 74
129 470 50
59 156 22
234 252 73
226 295 99
137 530 74
200 350 61
17 93 58
317 409 57
120 347 55
29 167 88
51 311 66
501 540 60
61 524 14
11 78 52
162 221 48
18 306 94
29 329 6
48 383 51
148 245 29
52 130 64
39 357 75
166 436 13
51 340 42
144 475 63
200 396 26
85 395 86
333 451 73
241 537 3
71 349 50
13 409 50
248 421 99
170 497 55
149 345 7
335 486 47
46 387 39
118 414 59
444 462 39
533 541 68
226 538 11
197 410 8
176 306 77
161 418 93
25 119 70
272 375 14
240 397 11
184 217 58
129 298 55
172 340 87
213 453 12
237 271 46
374 472 100
159 241 80
261 455 69
215 408 41
87 320 45
59 62 47
302 471 98
19 261 34
60 374 25
86 391 49
164 322 44
52 281 100
205 407 26
84 294 72
158 444 54
9 479 98
32 299 47
72 490 32
134 163 79
282 457 61
87 280 37
245 490 92
296 372 20
228 349 7
173 335 29
123 371 68
188 487 40
274 325 4
219 449 34
11 137 19
320 460 66
269 378 30
34 511 48
215 414 71
80 459 4
24 315 44
336 465 15
430 472 75
33 383 65
18 200 89
220 514 55
182 348 47
160 505 7
217 401 29
127 199 87
148 520 23
41 482 77
292 456 17
18 507 52
309 337 71
296 324 77
74 318 63
213 386 48
38 424 61
438 540 61
207 474 98
122 432 70
40 497 45
14 82 10
490 512 10
425 499 13
22 134 33
150 441 72
403 512 51
446 490 26
315 398 80
19 478 18
480 488 5
9 261 52
198 506 86
73 334 89
194 540 84
370 389 38
39 343 58
223 340 18
265 347 72
316 513 45
19 345 76
442 504 97
220 324 93
430 479 70
24 449 66
404 472 1
347 405 31
240 255 83
84 241 53
254 460 74
366 489 40
24 213 97
55 490 27
331 432 73
311 497 35
189 537 95
107 258 3
115 411 2
218 288 32
326 467 37
205 319 35
356 531 44
46 409 98
37 541 66
240 262 100
175 207 20
430 530 92
167 319 3
288 487 52
391 480 93
221 231 86
215 476 72
219 395 40
131 345 64
47 500 12
47 153 99
83 416 5
53 365 26
147 381 84
263 438 66
409 428 1
245 478 62
16 246 95
255 526 69
51 76 38
448 456 13
63 356 77
231 465 56
28 221 21
14 43 30
44 336 10
268 393 80
120 394 24
333 354 6
37 502 9
4 496 62
311 313 55
3 508 38
91 240 92
366 402 12
156 514 55
366 505 100
101 304 41
307 449 2
303 357 56
292 511 5
241 305 70
96 236 28
2 537 23
1 406 3
116 357 68
235 520 42
5 149 75
189 337 10
124 171 39
14 20 41
59 294 20
447 530 3
30 291 33
130 234 75
39 241 96
65 330 77
418 421 77
151 155 61
80 341 41
172 271 46
237 514 77
92 274 55
184 196 6
391 538 17
175 364 78
418 539 73
477 486 70
362 374 51
14 444 22
515 532 96
23 471 86
167 213 66
272 323 95
226 415 27
86 385 11
8 127 74
327 489 36
113 138 20
21 377 47
12 470 80
236 293 18
414 458 87
61 126 59
12 221 16
96 100 4
84 417 71
38 351 3
141 171 83
329 415 78
422 537 25
55 70 42
35 456 56
19 74 10
171 498 75
293 540 33
30 43 73
363 513 60
30 394 35
23 176 45
92 536 85
128 472 60
126 462 50
297 517 52
45 69 74
98 161 96
43 230 6
233 360 51
262 406 99
20 463 49
299 473 45
280 324 55
297 407 45
235 292 37
282 485 69
419 529 38
266 494 12
164 376 92
111 275 66
290 443 33
81 378 41
239 259 73
109 278 8
19 34 25
15 449 8
153 425 92
35 507 20
325 426 97
95 267 97
24 488 16
67 171 50
118 282 48
421 442 48
209 438 44
17 351 2
157 492 18
65 337 68
41 357 17
336 498 22
87 367 30
386 536 20
116 200 4
256 386 50
176 191 24
105 189 38
129 168 89
27 156 17
108 336 22
77 316 42
145 523 15
11 251 14
343 528 93
107 210 31
121 328 37
129 302 72
27 437 41
136 530 81
65 483 95
28 297 76
302 410 83
203 212 75
343 520 79
28 350 47
296 388 45
302 468 72
183 265 96
413 473 78
17 332 21
60 207 94
147 349 76
71 449 1
128 403 19
424 475 39
175 280 73
71 521 44
217 236 99
110 161 75
247 370 46
182 259 13
167 400 29
279 530 66
260 471 3
65 220 13
454 530 78
38 474 94
53 93 51
30 206 46
3 357 75
268 397 10
127 157 93
185 489 9
61 96 96
191 437 75
82 305 28
360 537 42
389 459 94
445 454 70
296 374 60
115 382 84
164 453 53
143 302 9
242 508 60
123 290 94
208 238 97
190 322 9
33 367 43
41 538 70
18 528 48
275 434 70
118 154 25
11 360 42
269 310 25
84 206 26
261 288 87
255 393 37
23 389 29
381 500 59
5 194 85
272 540 27
19 46 88
37 319 77
506 535 58
387 434 10
5 325 42
387 465 5
12 428 32
411 445 74
7 466 8
146 341 50
89 440 9
117 189 50
146 504 34
58 141 7
42 68 32
51 505 58
89 274 5
343 431 84
181 219 19
187 242 29
152 169 68
75 99 60
177 286 77
57 420 34
376 506 57
27 160 67
91 244 24
52 371 36
65 454 43
221 489 3
319 433 6
3 435 68
89 183 28
178 287 65
125 273 10
47 333 20
104 255 91
14 359 64
82 420 70
289 390 8
9 314 4
149 237 25
258 318 68
140 174 15
68 532 49
271 280 91
217 254 60
14 364 73
336 444 62
176 436 15
78 483 38
281 354 80
321 384 66
7 194 42
334 480 2
34 329 21
259 349 74
62 236 34
70 347 30
37 214 50
13 225 59
64 285 79
69 384 61
112 227 56
23 345 90
199 403 64
135 397 28
290 352 49
463 523 37
128 138 25
12 206 50
336 494 65
49 344 74
253 419 68
71 89 25
168 221 39
43 73 46
69 254 87
341 449 21
174 270 78
129 510 16
112 351 70
247 467 94
348 472 83
256 412 85
363 514 4
80 371 32
160 434 96
334 458 37
204 254 1
308 432 82
247 494 16
11 418 57
111 410 26
159 171 40
7 75 63
75 400 92
93 169 62
216 351 2
105 129 77
400 413 17
246 385 74
110 324 67
116 530 37
463 532 97
158 384 83
114 468 11
309 480 54
142 149 36
126 164 39
193 459 83
303 519 19
251 404 8
466 472 76
85 251 77
20 421 61
106 200 48
44 415 52
282 346 21
489 500 94
294 495 6
70 257 97
14 111 35
203 265 13
18 74 93
104 124 2
172 368 52
67 486 8
319 329 22
282 355 93
385 530 58
143 538 9
114 462 36
264 328 30
92 267 96
32 178 43
5 246 75
271 282 62
59 469 88
91 101 8
94 455 6
191 463 30
167 342 98
72 343 18
70 330 44
40 149 5
148 376 30
192 196 98
56 397 80
90 485 20
454 473 17
12 385 55
243 531 34
164 508 63
130 443 68
208 229 14
107 451 77
279 313 68
90 105 23
77 198 73
82 521 64
261 292 99
90 525 75
157 359 65
179 394 91
324 489 46
150 333 19
36 426 45
283 329 3
176 437 83
320 394 14
98 236 98
69 338 98
137 494 78
223 301 53
374 468 23
119 383 31
156 462 43
284 524 100
113 280 16
386 443 88
69 289 44
222 355 3
250 266 2
241 321 45
97 402 80
103 105 73
21 511 70
294 378 58
91 449 26
390 462 72
278 322 97
439 530 29
72 98 34
333 471 1
127 352 91
75 84 8
79 141 97
29 472 1
275 492 1
176 346 18
112 338 15
236 512 18
269 336 49
220 284 73
197 295 98
171 291 6
90 151 63
343 353 24
47 429 32
32 85 38
325 494 42
248 411 47
152 234 15
80 501 9
247 461 52
23 217 61
165 282 18
281 442 39
102 189 71
131 462 10
73 156 35
140 445 50
133 185 86
246 346 48
29 495 88
93 465 15
266 325 87
45 453 21
228 530 12
284 443 96
48 76 85
216 308 93
230 309 74
2 94 65
137 245 74
151 213 3
96 321 99
82 142 81
137 192 48
121 422 42
119 245 74
303 517 72
97 196 49
147 149 26
229 416 89
85 467 25
135 280 45
143 295 91
1 80 15
35 491 85
83 200 31
5 186 90
85 144 79
139 507 88
168 229 11
83 536 48
452 471 6
242 454 55
302 313 68
260 297 53
53 432 13
102 186 55
181 427 99
209 490 13
199 389 55
89 309 24
266 531 51
117 202 93
23 149 83
25 133 30
398 461 57
2 58 29
210 387 53
156 440 64
106 271 20
28 102 67
18 124 37
72 248 37
33 443 47
3 191 28
291 448 63
300 357 46
31 326 54
256 473 10
272 377 44
56 200 50
317 489 45
325 368 1
306 423 18
338 535 59
182 256 50
1 479 37
176 182 6
389 413 52
45 320 48
62 352 91
419 450 84
16 342 80
48 526 82
438 528 37
347 384 65
347 478 8
19 412 11
66 116 72
269 321 50
191 347 15
35 244 2
260 332 30
32 294 16
85 541 72
341 402 53
59 84 86
226 396 93
168 251 57
118 199 39
227 449 43
25 314 34
125 210 17
